epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.522,1.56113,1.23695,1.22792,0.90676,0.85685,0.92513,0.50985,1.43894,1.00722,1.18746,0.00066565,0.00066565,0.00066565
2,278.961,1.4818,0.81639,1.19255,0.90047,0.87397,0.92745,0.54487,1.38755,0.81287,1.18216,0.00130594,0.00130594,0.00130594
3,393.904,1.46637,0.772,1.18851,0.90851,0.87052,0.93312,0.54522,1.37847,0.81371,1.19242,0.00191982,0.00191982,0.00191982
4,508.348,1.4468,0.73759,1.17979,0.89716,0.87696,0.93234,0.55469,1.36005,0.7979,1.17691,0.0018812,0.0018812,0.0018812
5,623.561,1.43362,0.71962,1.17548,0.90582,0.86869,0.93436,0.55848,1.35881,0.80369,1.17268,0.0018416,0.0018416,0.0018416
6,737.065,1.42488,0.70853,1.16929,0.89817,0.88924,0.93722,0.56068,1.33891,0.73392,1.16255,0.001802,0.001802,0.001802
7,849.907,1.4068,0.69163,1.16417,0.90816,0.88725,0.94519,0.56614,1.33204,0.70625,1.15851,0.0017624,0.0017624,0.0017624
8,963.978,1.40215,0.67483,1.15869,0.91422,0.88717,0.9467,0.56461,1.31469,0.7226,1.15943,0.0017228,0.0017228,0.0017228
9,1077.42,1.39362,0.67193,1.15627,0.91581,0.89335,0.9497,0.57772,1.31059,0.71361,1.15567,0.0016832,0.0016832,0.0016832
10,1191.52,1.39307,0.67237,1.1578,0.91896,0.89481,0.95045,0.57813,1.30606,0.70797,1.15653,0.0016436,0.0016436,0.0016436
11,1308.22,1.38988,0.66817,1.15863,0.91871,0.88946,0.9508,0.57023,1.30475,0.7022,1.15228,0.001604,0.001604,0.001604
12,1422.06,1.38913,0.6622,1.1576,0.91025,0.8914,0.94173,0.57833,1.29231,0.70696,1.14914,0.0015644,0.0015644,0.0015644
13,1535.81,1.38106,0.6583,1.15184,0.91497,0.89322,0.95029,0.57771,1.30611,0.7053,1.15545,0.0015248,0.0015248,0.0015248
14,1649.63,1.37801,0.64979,1.15083,0.91668,0.89347,0.94821,0.57908,1.28422,0.6803,1.14741,0.0014852,0.0014852,0.0014852
15,1763.24,1.36895,0.64466,1.14638,0.91488,0.89276,0.95034,0.58198,1.28567,0.67117,1.13871,0.0014456,0.0014456,0.0014456
16,1876.77,1.3714,0.64228,1.14879,0.92081,0.89351,0.95418,0.58432,1.28524,0.66346,1.14211,0.001406,0.001406,0.001406
17,1989.94,1.36291,0.63596,1.14386,0.92414,0.89309,0.95397,0.58861,1.28109,0.65374,1.14132,0.0013664,0.0013664,0.0013664
18,2103.47,1.36214,0.63859,1.14185,0.91828,0.89536,0.95305,0.58981,1.27048,0.65922,1.13703,0.0013268,0.0013268,0.0013268
19,2217.26,1.35624,0.62665,1.1392,0.91292,0.89559,0.94847,0.58514,1.28032,0.66566,1.1411,0.0012872,0.0012872,0.0012872
20,2330.53,1.35593,0.62775,1.13893,0.91235,0.89937,0.95021,0.58399,1.29256,0.66421,1.14631,0.0012476,0.0012476,0.0012476
21,2444.69,1.35169,0.62461,1.1373,0.91855,0.89714,0.95388,0.58997,1.27085,0.65434,1.13659,0.001208,0.001208,0.001208
22,2558.53,1.35227,0.62266,1.13806,0.91447,0.89884,0.9506,0.59113,1.26783,0.6522,1.13818,0.0011684,0.0011684,0.0011684
23,2672.99,1.35233,0.61795,1.1376,0.91744,0.89523,0.9515,0.58754,1.28566,0.65429,1.14407,0.0011288,0.0011288,0.0011288
24,2786.44,1.34796,0.61823,1.13577,0.91987,0.90172,0.95607,0.59472,1.26606,0.63577,1.13391,0.0010892,0.0010892,0.0010892
25,2901.91,1.33619,0.61375,1.13337,0.92147,0.89919,0.95476,0.58772,1.27241,0.65179,1.1403,0.0010496,0.0010496,0.0010496
26,3018.09,1.33752,0.60998,1.12862,0.91793,0.90205,0.95115,0.59166,1.26516,0.63572,1.13165,0.00101,0.00101,0.00101
